cobacia,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
"7582998733","1","1",0,0,0,0,0,0,0,0,0,0,0,0
"75829983","2","1",0.5,0.5,0,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0
"7582998591","1","1",0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0
