cocursodag,cobacia,noriocomp,peq_,qmld_,q90_,q95_,q7_10,peq_ih_,peq750_,sum
"7582998","7582998791",Ribeirão Santana,"1,0215036809","0,259004233028","0,0438917792953","0,0289560230863","0,00520307616831","0,403882241783","0",
"7582998","758299851",Ribeirão Santana,"1,87987014459","0,482082039268","0,082373823886","0,0554430175017","0,0109950089038","0,74988553405","0",
"75829982","7582998251",Córrego Grota Grande,"0,10702365428","0,0247461017649","0,00406449730028","0,00248583616792","0,000307695688584","0,0389505450715","0",
"75829982","7582998253",Córrego Grota Grande,"0,09072662424","0,0206695554655","0,00338680703496","0,00205937215084","0,000247727922323","0,0325573481746","0",
"75829982","758299827",Córrego Grota Grande,"0,06144567502","0,0133310876921","0,0021716473061","0,00130193972753","0,000146082603832","0,0210349524173","0",
"75829982","7582998291",Córrego Grota Grande,"0,03638791168","0,00816664300865","0,00132170352064","0,000779959059794","8,09651819065E-05","0,0129111985902","0",
"75829982","7582998295",sem nome,"0,0099035975099","0,0023295687129","0,000370777757374","0,000210126998141","1,78746514596E-05","0,00370140591934","0",
"7582998","75829989971",Ribeirão Santana,"0,11935727391","0,0298252529315","0,00491092766795","0,00302164935202","0,000385267468979","0,0469102976923","0",
"7582998","75829989975",Ribeirão Santana,"0,07565880759","0,0188511652153","0,00308507057073","0,00187033608809","0,000221723496879","0,0297040222019","0",
"7582998","75829989977",Ribeirão Santana,"0,06132375674","0,015434476153","0,00251919995336","0,00151745656252","0,000174270253412","0,0243396656061","0",
"7582998212","7582998212",sem nome,"0,00553341515295","0,00128940487774","0,000203613988509","0,00011321157511","8,76740636776E-06","0,00205353882114","0",
"7582998","75829989991",Ribeirão Santana,"0,04420711316","0,0112244407444","0,00182429030651","0,00108764288282","0,000118750845787","0,0177230300169","0",
"75829989994","75829989994",sem nome,"0,00731000615134","0,00181173873226","0,000287395681987","0,000161557530537","1,32054392506E-05","0,00288151775712","0",
"75829989992","75829989992",sem nome,"0,00673388957987","0,00152327918093","0,000241080185532","0,000134765718105","0,000010716431539","0,00242440403954","0",
"7582998","75829989911",Ribeirão Santana,"0,24802039683","0,0625149716049","0,0103954223077","0,0065507087084","0,000939338689702","0,0980367501405","0",
"7582998","75829981",Ribeirão Santana,"2,28943192928","0,581300514317","0,0995751649838","0,0674264134472","0,0137746407576","0,903548011662","0",
"7582998","75829989913",Ribeirão Santana,"0,22800741491","0,0574139373514","0,00953637462724","0,00599290265686","0,000847819573463","0,0900677529998","0",
"7582998","7582998951",Ribeirão Santana,"0,5072140269","0,127943836241","0,0214792040277","0,013851464234","0,0022253590484","0,200071994746","0",
"7582998","7582998953",Ribeirão Santana,"0,46099752425","0,11565953183","0,0193908409518","0,012464082281","0,00197063567118","0,180935106632","0",
"7582998","7582998955",Ribeirão Santana,"0,44156299249","0,110443522892","0,0185049818465","0,0118769784582","0,00186410716134","0,172807038152","0",
"7582998","7582998957",Ribeirão Santana,"0,4281269667","0,107013649089","0,0179227723064","0,0114916029676","0,00179461276941","0,167461462514","0",
"7582998","758299897",Ribeirão Santana,"0,35112813846","0,0869505676798","0,0145223892775","0,00924922805564","0,00139760197185","0,136178013841","0",
"7582998","75829989915",Ribeirão Santana,"0,20250564954","0,051129727891","0,00847948042594","0,00530883830702","0,000737351654484","0,0802464537637","0",
"7582998","7582998993",Ribeirão Santana,"0,18108934391","0,0460379224651","0,00762438786433","0,00475735907309","0,000649844924973","0,0722852033088","0",
"7582998","7582998995",Ribeirão Santana,"0,16337735839","0,0414074995009","0,00684786826684","0,00425825431932","0,00057196309906","0,0650423049273","0",
"758299872","7582998727",sem nome,"0,0122415500006","0,00324258364872","0,000518371656588","0,000296921228187","2,66190785347E-05","0,00514530095189","0",
"75829987222","75829987222",sem nome,"0,00223979252699","0,000584493564933","9,13321475365E-05","4,95022538366E-05","3,38114891323E-06","0,000933815167781","0",
"7582998724","7582998724",sem nome,"0,00350884290443","0,000922926124314","0,000145094831222","7,98089370193E-05","5,86112191673E-06","0,00147183301097","0",
"7582998726","7582998726",sem nome,"0,00874016943349","0,00230515963078","0,000366841326026","0,000207825532782","1,76493419392E-05","0,00366277635891","0",
"758299872","7582998721",sem nome,"0,03864854055","0,0102320481858","0,00166095022248","0,000987307441793","0,00010622372689","0,0161620276124","0",
"758299872","7582998723",sem nome,"0,02849116666","0,00756064772822","0,00122237288933","0,000719550936101","0,000073785842832","0,0119568082125","0",
"758299872","7582998725",sem nome,"0,02180327705","0,0057803813892","0,000931212735771","0,000543433161418","5,34009985044E-05","0,00915117450053","0",
"758299842","758299842",sem nome,"0,0118532181067","0,00307959274173","0,000491977419243","0,00028133437863","2,50160863318E-05","0,00488767168356","0",
"7582998592","7582998592",sem nome,"0,00229445652372","0,000519251469988","8,10097648187E-05","0,000043740212028","2,9319812969E-06","0,000829972124938","0",
"758299858","758299858",sem nome,"0,00307025548938","0,00069096647787","0,00010821026063","5,89676329933E-05","4,13608108229E-06","0,00110318642545","0",
"7582998542","7582998542",sem nome,"0,00757976343258","0,00202002600071","0,000320900804125","0,000181026444978","1,50546077845E-05","0,00321140137018","0",
"758299854","7582998541",sem nome,"0,01964641812","0,00524486136047","0,000843848205159","0,000490907675868","4,75008203898E-05","0,00830658288408","0",
"758299854","7582998543",sem nome,"0,0117574490388","0,00313590392365","0,000501094221753","0,000286715275766","2,55679853795E-05","0,00497668514991","0",
"7582998642","75829986425",sem nome,"0,00655798378356","0,00172595933543","0,000273611783583","0,000153568586468","1,24561661817E-05","0,00274561810624","0",
